x1,x2,target
-0.999101782,-0.663859997,1
1.246686183,1.153596854,1
0.962776827,0.859397466,1
-2.957440951,2.033645288,1
1.141165272,1.059448634,1
2.485477864,2.399635889,1
-0.647963674,-0.747560845,0
-0.892232813,-0.818222443,0
-0.727335983,-0.091546668,0
0.975364321,-1.806933347,0
0.521090907,0.6640066,1
1.298410809,1.045306376,1
-0.686076633,-0.217304256,0
2.925139588,2.71196089,1
1.882030027,1.646367141,1
1.019839112,1.047484847,1
-0.371486943,-0.898300696,0
-2.409975872,1.51157784,1
0.550850989,0.472406644,0
-1.287894199,1.896193767,1
-2.044462049,-0.413494141,1
-0.885289629,-1.339882047,0
1.024183134,0.974773147,1
2.772118784,-0.560382886,0
2.894620276,2.968927927,1
-1.533720452,-2.624974174,0
0.020981917,-0.067607961,1
1.844323138,-1.221707652,0
1.048352542,0.961774366,1
2.400461031,-0.898909104,0
-0.906270151,-0.919836527,0
0.685643928,-0.812080631,0
-0.04258589,0.087778431,1
-1.510828278,2.995192147,1
-0.899755983,-0.293254723,0
-1.561028039,-2.760416316,0
0.809791827,0.656203461,1
1.919148852,-1.246957072,0
0.130292097,-0.730944885,0
0.144969175,0.558708738,1
-0.426245573,0.114931258,1
2.329717581,-0.445018309,0
-2.194865747,1.512194632,1
-1.68272673,2.123718114,1
-0.144328662,-1.088056977,0
0.90680103,0.571686656,1
0.766853381,0.54456695,1
1.057676066,-1.041849105,0
-1.133947698,-1.460128565,0
-0.809337611,-0.538962478,0
1.893266946,-1.247217111,0
0.569745554,-0.520052876,0
-1.236246977,1.18067834,1
-1.352984801,-1.863607467,0
-1.248891719,-2.149470971,0
0.141655102,0.302452731,1
0.479905558,-0.787362051,0
-1.91052957,-4.543441462,0
-0.836758787,-1.126952386,0
-0.909281982,-0.759353444,0
-1.466427972,-2.186202417,0
-1.187131928,-0.961389635,0
0.981518432,-0.946258381,0
-1.377190147,0.923900033,1
-0.945832658,-0.446398003,0
0.084887089,0.101908529,1
1.931184223,-0.85610674,0
-0.814051355,-0.987562306,0
-1.058145208,1.239085936,1
2.299508696,-1.382500428,0
2.018603479,1.944044527,1
-0.466456078,0.278520818,0
3.166705228,-0.772130067,0
-0.017795778,-0.012814401,1
-0.64019076,-0.06063491,0
-2.502847469,1.085283269,1
2.092603244,-1.478354135,0
-1.058506662,-1.648743185,0
0.437673217,-0.514322276,0
0.301774197,0.360221098,1
0.420996743,1.938387972,1
0.516460547,0.883845553,1
-1.018531214,-1.406870304,0
-3.376195428,0.76912152,1
-1.39932355,-2.34935873,0
-1.677334379,0.87539833,1
0.228655043,0.433568235,1
1.781716393,1.667750375,1
1.224270102,-0.911651971,0
-0.252892539,1.029642877,0
-1.025340132,-1.165629463,0
-0.91280228,1.573713514,1
1.248447161,1.181180972,1
-0.609856615,0.555777598,0
-2.493911379,-0.000162537,1
-0.754405465,1.045959113,1
2.110642776,-1.005787916,0
-0.870864815,-1.304245442,0
-0.369594794,1.249290079,1
0.536133993,0.592396301,1
0.594173255,-0.980595408,0
-1.136700478,-1.731973528,0
-0.507658477,0.843369509,0
0.531554385,-0.991438018,0
-0.545329335,0.665287214,1
0.220916136,-1.088904688,0
2.134058643,-0.778229273,0
0.223593441,0.350154803,1
-0.277034791,-0.22548503,1
1.954296868,1.793196922,1
-0.811449471,-0.532607912,0
-0.334741711,-0.428166217,0
0.805880166,0.994846876,1
0.708753916,-1.691973122,0
